iter	RMSE
0	118.4336242
1	117.0678414
2	115.7855065
3	114.6233206
4	113.5379845
5	112.565217
6	111.6649287
7	110.8385194
8	110.0349414
9	109.3037796
10	108.6606875
11	108.0855403
12	107.5637696
13	107.0484047
14	106.564372
15	106.1627218
16	105.7585826
17	105.4295071
18	105.1128846
19	104.6868976
20	104.4180405
21	104.1977139
22	103.9525286
23	103.7406869
24	103.4305973
25	103.2606169
26	103.105819
27	102.9552151
28	102.8225812
29	102.7023235
30	102.597755
31	102.4935966
32	102.4019679
33	102.3430911
34	102.2675267
35	102.1536717
36	102.0978989
37	102.0131062
38	101.822943
39	101.7622
40	101.7185046
41	101.6684257
42	101.6271701
43	101.572226
44	101.3748007
45	101.3301259
46	101.2917169
47	101.2596051
48	101.2292436
49	101.2150695
50	101.1734486
51	101.0328593
52	100.8856649
53	100.8483114
54	100.7839534
55	100.7626268
56	100.7334322
57	100.6890183
58	100.6503054
59	100.6334785
60	100.6136547
61	100.3583552
62	100.3323872
63	100.3080685
64	100.2251779
65	100.2085584
66	100.1864604
67	99.89320702
68	99.8713662
69	99.84988625
70	99.83943561
71	99.72330451
72	99.50044627
73	99.35012903
74	99.3233035
75	99.30262074
76	99.29478962
77	99.26985542
78	99.25442565
79	99.24059036
80	99.22387256
81	99.21312597
82	99.1920762
83	99.17023402
84	99.15320347
85	99.14694787
86	99.05916509
87	99.0560035
88	99.04833178
89	99.04498327
90	98.9898151
91	98.97809333
92	98.96361397
93	98.95585163
94	98.9487001
95	98.78779417
96	98.7788372
97	98.5937538
98	98.58392145
99	98.57080277
100	98.55512816
101	98.53769101
102	98.49341629
103	98.48946936
104	98.36853735
105	98.36284363
106	98.35192078
107	98.34238225
108	98.33876811
109	98.33033493
110	98.32271241
111	98.3110987
112	98.30969107
113	98.18444756
114	98.10517381
115	98.09754258
116	98.07785107
117	98.0748199
118	98.06782354
119	97.95389679
120	97.92714807
121	97.92220118
122	97.90120527
123	97.89807463
124	97.88620569
125	97.88266771
126	97.87523
127	97.86927627
128	97.86579823
129	97.86529025
130	97.85405198
131	97.85109354
132	97.83566374
133	97.82370984
134	97.75930353
135	97.73959214
136	97.73674157
137	97.72991126
138	97.72637066
139	97.68826793
140	97.66471869
141	97.64974819
142	97.64505471
143	97.63639799
144	97.63155634
145	97.61233044
146	97.61040246
147	97.61039805
148	97.60641227
149	97.60426859
150	97.5804188
151	97.53977466
152	97.53842991
153	97.53459483
154	97.52751925
155	97.49750541
156	97.49462545
157	97.49419805
158	97.44055927
159	97.43452489
160	97.43040882
161	97.41944561
162	97.41755961
163	97.37324935
164	97.36420966
165	97.35606285
166	97.34475326
167	97.33902375
168	97.33331748
169	97.32757837
170	97.21246516
171	97.20018821
172	97.19080315
173	97.09492545
174	97.08162842
175	97.07500353
176	97.0748307
177	97.06526234
178	97.06294235
179	97.06114969
180	97.0570178
181	97.05188046
182	96.96969078
183	96.95789347
184	96.93935458
185	96.91468739
186	96.90937216
187	96.88652521
188	96.87887175
189	96.85192054
190	96.82107934
191	96.79081838
192	96.77758235
193	96.726045
194	96.71927341
195	96.71220359
196	96.71193105
197	96.62497572
198	96.61611445
199	96.59082604
200	96.58550101
201	96.58099973
202	96.56939836
203	96.55283741
204	96.49653512
205	96.47082416
206	96.45331337
207	96.41950136
208	96.39191297
209	96.39096535
210	96.38630391
211	96.36941016
212	96.34113117
213	96.33684662
214	96.33297099
215	96.29100747
216	96.27687279
217	96.2477092
218	96.23684286
219	96.2284558
220	96.12510025
221	96.11516304
222	96.10196748
223	96.08774881
224	96.07621645
225	96.06552221
226	96.04756314
227	96.03324025
228	96.02287156
229	96.01874828
230	96.01096792
231	96.00327807
232	95.9976528
233	95.98754742
234	95.98137414
235	95.96966587
236	95.96017523
237	95.95938754
238	95.94970186
239	95.9429854
240	95.93757674
241	95.9345996
242	95.9245934
243	95.92137969
244	95.91004127
245	95.90387722
246	95.89613895
247	95.89189227
248	95.88440085
249	95.8789798
250	95.85051298
251	95.84040988
252	95.82166658
253	95.81565112
254	95.74495408
255	95.7374857
256	95.71552162
257	95.62532064
258	95.60543388
259	95.59706129
260	95.58853023
261	95.55729624
262	95.55034554
263	95.54772629
264	95.54320661
265	95.51744817
266	95.51375799
267	95.50793194
268	95.49763615
269	95.48668794
270	95.47733645
271	95.46866584
272	95.46402231
273	95.42925238
274	95.41993621
275	95.40299399
276	95.40091163
277	95.39999092
278	95.37419445
279	95.36004883
280	95.3483244
281	95.33374001
282	95.33095202
283	95.31035817
284	95.29936985
285	95.28508289
286	95.23286105
287	95.22423582
288	95.20342065
289	95.19973783
290	95.17324592
291	95.16928657
292	95.16523851
293	95.16385217
294	95.15719382
295	95.10641701
296	95.10202289
297	95.05377333
298	95.0458543
299	95.04273548
