iter	Passed	Remaining
0	37	11112
1	75	11243
2	114	11296
3	151	11184
4	188	11126
5	225	11062
6	262	10994
7	300	10974
8	342	11062
9	383	11113
10	430	11298
11	474	11378
12	513	11332
13	550	11236
14	593	11276
15	632	11230
16	671	11180
17	716	11221
18	755	11170
19	796	11147
20	843	11206
21	892	11278
22	944	11370
23	986	11344
24	1042	11468
25	1084	11433
26	1131	11440
27	1173	11398
28	1218	11382
29	1264	11381
30	1303	11307
31	1341	11238
32	1382	11188
33	1424	11144
34	1466	11101
35	1488	10916
36	1527	10854
37	1563	10780
38	1603	10729
39	1642	10675
40	1681	10625
41	1720	10569
42	1758	10508
43	1795	10447
44	1833	10390
45	1871	10333
46	1910	10284
47	1948	10228
48	1987	10182
49	2025	10125
50	2066	10091
51	2106	10045
52	2144	9995
53	2182	9943
54	2221	9895
55	2260	9850
56	2280	9722
57	2305	9617
58	2340	9559
59	2378	9515
60	2418	9476
61	2457	9434
62	2495	9389
63	2533	9342
64	2572	9301
65	2598	9213
66	2636	9167
67	2672	9119
68	2711	9078
69	2750	9038
70	2791	9004
71	2830	8962
72	2870	8924
73	2910	8889
74	2951	8853
75	2987	8806
76	3027	8768
77	3065	8724
78	3104	8683
79	3140	8636
80	3180	8599
81	3216	8552
82	3254	8509
83	3294	8470
84	3331	8426
85	3371	8390
86	3409	8346
87	3445	8299
88	3484	8260
89	3523	8222
90	3561	8180
91	3599	8139
92	3642	8107
93	3682	8069
94	3721	8029
95	3758	7987
96	3795	7943
97	3831	7897
98	3868	7854
99	3904	7809
100	3942	7767
101	3979	7724
102	4016	7682
103	4056	7644
104	4093	7602
105	4130	7559
106	4167	7516
107	4206	7478
108	4243	7435
109	4281	7396
110	4318	7352
111	4355	7310
112	4391	7267
113	4428	7224
114	4467	7187
115	4487	7117
116	4524	7077
117	4562	7037
118	4599	6995
119	4639	6958
120	4677	6919
121	4715	6880
122	4751	6837
123	4788	6796
124	4826	6757
125	4864	6717
126	4901	6676
127	4939	6637
128	4975	6595
129	5014	6557
130	5051	6517
131	5093	6482
132	5131	6442
133	5145	6373
134	5181	6333
135	5218	6293
136	5256	6254
137	5295	6216
138	5333	6178
139	5370	6137
140	5409	6100
141	5453	6067
142	5496	6035
143	5543	6005
144	5584	5969
145	5628	5936
146	5663	5894
147	5705	5859
148	5743	5820
149	5787	5787
150	5826	5749
151	5872	5717
152	5912	5681
153	5955	5646
154	5993	5606
155	6037	5572
156	6077	5535
157	6118	5498
158	6154	5457
159	6191	5417
160	6228	5377
161	6266	5337
162	6303	5298
163	6342	5259
164	6378	5218
165	6416	5179
166	6456	5141
167	6493	5102
168	6532	5063
169	6570	5024
170	6608	4985
171	6647	4946
172	6686	4908
173	6725	4869
174	6762	4830
175	6800	4791
176	6839	4753
177	6876	4713
178	6917	4676
179	6958	4639
180	6996	4600
181	7037	4562
182	7075	4523
183	7115	4485
184	7155	4448
185	7194	4409
186	7231	4369
187	7269	4330
188	7307	4291
189	7344	4251
190	7382	4212
191	7422	4174
192	7458	4135
193	7500	4097
194	7537	4058
195	7574	4019
196	7614	3981
197	7657	3944
198	7704	3910
199	7750	3875
200	7791	3837
201	7833	3800
202	7877	3763
203	7920	3727
204	7970	3693
205	8012	3656
206	8054	3618
207	8100	3583
208	8145	3546
209	8188	3509
210	8231	3472
211	8273	3434
212	8314	3395
213	8354	3357
214	8393	3318
215	8430	3278
216	8469	3239
217	8507	3200
218	8544	3160
219	8582	3120
220	8619	3081
221	8655	3041
222	8694	3002
223	8732	2962
224	8770	2923
225	8811	2885
226	8850	2846
227	8888	2807
228	8925	2767
229	8963	2727
230	9002	2689
231	9042	2650
232	9081	2611
233	9120	2572
234	9159	2533
235	9199	2494
236	9236	2455
237	9274	2416
238	9313	2377
239	9354	2338
240	9392	2299
241	9432	2260
242	9471	2221
243	9510	2182
244	9551	2144
245	9592	2105
246	9631	2066
247	9672	2028
248	9712	1989
249	9750	1950
250	9790	1911
251	9828	1872
252	9869	1833
253	9906	1794
254	9946	1755
255	9988	1716
256	10031	1678
257	10071	1639
258	10112	1600
259	10152	1561
260	10191	1522
261	10232	1484
262	10271	1445
263	10312	1406
264	10350	1367
265	10412	1330
266	10453	1291
267	10492	1252
268	10533	1213
269	10576	1175
270	10620	1136
271	10671	1098
272	10718	1060
273	10761	1021
274	10802	982
275	10841	942
276	10884	903
277	10929	864
278	10972	825
279	11021	787
280	11067	748
281	11112	709
282	11155	670
283	11193	630
284	11235	591
285	11280	552
286	11374	515
287	11533	480
288	11673	444
289	11732	404
290	11801	364
291	11886	325
292	11986	286
293	12039	245
294	12099	205
295	12154	164
296	12214	123
297	12275	82
298	12340	41
299	12391	0
