iter	Quantile:alpha=0.95
0	17.53131811
1	17.25280825
2	16.98347534
3	16.72295263
4	16.48461503
5	16.25086857
6	16.01795965
7	15.79598552
8	15.58689414
9	15.3845527
10	15.18801655
11	15.00982354
12	14.82846233
13	14.66099211
14	14.5022729
15	14.34807349
16	14.20736417
17	14.06136199
18	13.92233936
19	13.8069288
20	13.66297864
21	13.53450991
22	13.41104876
23	13.2943724
24	13.18505592
25	13.07901276
26	12.95889198
27	12.85790911
28	12.76708229
29	12.66511531
30	12.57680699
31	12.46245681
32	12.38787672
33	12.30589798
34	12.22957874
35	12.15542875
36	12.0629026
37	11.96689679
38	11.87932975
39	11.81814545
40	11.75514848
41	11.68362256
42	11.61593189
43	11.56218035
44	11.50876347
45	11.45691287
46	11.40555316
47	11.36142294
48	11.31392932
49	11.26868692
50	11.22529878
51	11.177439
52	11.13286662
53	11.09000552
54	11.04913
55	11.00974215
56	10.96900229
57	10.92566785
58	10.89036424
59	10.8546279
60	10.81959664
61	10.78641208
62	10.75516769
63	10.72601526
64	10.69628552
65	10.67029837
66	10.64108583
67	10.61381012
68	10.59087396
69	10.56683731
70	10.54311949
71	10.5203555
72	10.50119158
73	10.47976483
74	10.458578
75	10.44023749
76	10.42380316
77	10.40552942
78	10.38935983
79	10.37607862
80	10.36241188
81	10.34751661
82	10.33223404
83	10.31828097
84	10.30670286
85	10.29517851
86	10.28511008
87	10.27574269
88	10.26578557
89	10.25647236
90	10.24525736
91	10.23653674
92	10.22601301
93	10.21761589
94	10.20950545
95	10.20122321
96	10.19409914
97	10.19009622
98	10.18345366
99	10.14356475
100	10.13630207
101	10.12802719
102	10.11969508
103	10.10930566
104	10.09807168
105	10.0879802
106	10.07478
107	10.06500849
108	10.0536097
109	10.0430621
110	10.03272285
111	10.02402874
112	10.01494723
113	10.00433705
114	9.995507859
115	9.984321993
116	9.974518771
117	9.964783925
118	9.957674472
119	9.95080216
120	9.944671674
121	9.939921056
122	9.932892927
123	9.92611804
124	9.918197093
125	9.909499116
126	9.901758224
127	9.896531431
128	9.889226901
129	9.884130861
130	9.879565671
131	9.874103072
132	9.86794214
133	9.86242342
134	9.857500296
135	9.850795324
136	9.847399236
137	9.842480834
138	9.838680201
139	9.835311337
140	9.830299427
141	9.82455187
142	9.822167346
143	9.816993323
144	9.813287034
145	9.806112221
146	9.802845986
147	9.79833369
148	9.79470177
149	9.787535409
150	9.782677585
151	9.780498492
152	9.775323595
153	9.771305681
154	9.767196716
155	9.762368812
156	9.758969314
157	9.755458333
158	9.752959849
159	9.747793234
160	9.743307987
161	9.739287497
162	9.737981175
163	9.73541774
164	9.732852369
165	9.730340032
166	9.728930011
167	9.72521466
168	9.722893351
169	9.720029929
170	9.719384452
171	9.71593204
172	9.713462038
173	9.711232031
174	9.708699353
175	9.706814588
176	9.67916674
177	9.676256011
178	9.674136323
179	9.672138728
180	9.670359856
181	9.668143488
182	9.654744307
183	9.6535148
184	9.652608084
185	9.649921953
186	9.647762572
187	9.639390176
188	9.638148258
189	9.63519898
190	9.633718081
191	9.631425461
192	9.621190054
193	9.619298695
194	9.618406053
195	9.616627152
196	9.613604417
197	9.610824891
198	9.608484685
199	9.605488033
200	9.603487785
201	9.601131634
202	9.600129332
203	9.597907194
204	9.595643902
205	9.593471427
206	9.592359464
207	9.591594089
208	9.589060426
209	9.588231672
210	9.584572276
211	9.58201008
212	9.58033246
213	9.578617241
214	9.577494389
215	9.577084773
216	9.57516197
217	9.57418398
218	9.572210296
219	9.571515401
220	9.570004552
221	9.568696996
222	9.566691001
223	9.565580331
224	9.564974005
225	9.564534519
226	9.56360146
227	9.562673957
228	9.56210904
229	9.561243464
230	9.560095564
231	9.558316638
232	9.557669704
233	9.557174828
234	9.556218383
235	9.553776556
236	9.552739198
237	9.550147316
238	9.54873876
239	9.547741222
240	9.544779404
241	9.543182602
242	9.542349712
243	9.541165638
244	9.540257655
245	9.538755781
246	9.537681009
247	9.536955699
248	9.536380629
249	9.534619395
250	9.533470402
251	9.532583606
252	9.532479383
253	9.531740117
254	9.529970598
255	9.522228936
256	9.521322641
257	9.519894592
258	9.518857816
259	9.517953286
260	9.515642447
261	9.514859157
262	9.513550102
263	9.512606644
264	9.511787215
265	9.510899667
266	9.484791428
267	9.484229295
268	9.48390051
269	9.477245727
270	9.476300514
271	9.473621853
272	9.472426597
273	9.472171549
274	9.471121099
275	9.469694784
276	9.468868491
277	9.467931569
278	9.46686446
279	9.465580394
280	9.464950322
281	9.46338316
282	9.462536396
283	9.461290071
284	9.460513766
285	9.459807618
286	9.459087755
287	9.455443012
288	9.453265882
289	9.452400168
290	9.451742682
291	9.449969794
292	9.429465729
293	9.427376805
294	9.426513577
295	9.425419975
296	9.425003439
297	9.423903662
298	9.423552229
299	9.423042924
300	9.422560459
301	9.421607228
302	9.421075401
303	9.419312329
304	9.419293128
305	9.417868964
306	9.416896861
307	9.416764462
308	9.414889007
309	9.414216965
310	9.413761178
311	9.413758061
312	9.413300918
313	9.412904395
314	9.410910868
315	9.410893449
316	9.409389699
317	9.408719042
318	9.408235581
319	9.407661829
320	9.407012466
321	9.405735519
322	9.404217247
323	9.402565555
324	9.402050843
325	9.401588264
326	9.401320672
327	9.40053697
328	9.399781168
329	9.399200156
330	9.393678771
331	9.392809848
332	9.390638111
333	9.390177113
334	9.389716049
335	9.389470468
336	9.387984884
337	9.387091067
338	9.386714682
339	9.38643993
340	9.385690213
341	9.38492463
342	9.384102483
343	9.383830634
344	9.38365066
345	9.382814648
346	9.382290364
347	9.381639921
348	9.380882123
349	9.380335495
350	9.379592882
351	9.379242024
352	9.378845152
353	9.378828238
354	9.378504085
355	9.37828734
356	9.377464284
357	9.37714708
358	9.376852906
359	9.375374607
360	9.374810115
361	9.373574057
362	9.373565832
363	9.373369327
364	9.372863224
365	9.366759146
366	9.365623334
367	9.365304963
368	9.365007251
369	9.36471816
370	9.362734416
371	9.362130469
372	9.362096729
373	9.361616937
374	9.360376327
375	9.360260498
376	9.359841136
377	9.35882727
378	9.358638697
379	9.35829792
380	9.357608459
381	9.35694773
382	9.356665386
383	9.355849416
384	9.355824119
385	9.35562441
386	9.354451244
387	9.353911616
388	9.353357874
389	9.353097802
390	9.352600511
391	9.351904082
392	9.351557386
393	9.351449334
394	9.351096948
395	9.350658786
396	9.349769472
397	9.349108555
398	9.348809744
399	9.348348298
400	9.348293203
401	9.347953365
402	9.347714116
403	9.341321103
404	9.341118165
405	9.341103367
406	9.34090599
407	9.34069976
408	9.340307915
409	9.33995792
410	9.339837238
411	9.339564863
412	9.339212896
413	9.339145374
414	9.338965755
415	9.33838347
416	9.33788433
417	9.337879276
418	9.337874447
419	9.33756737
420	9.336987578
421	9.336975214
422	9.336914248
423	9.336467501
424	9.335953237
425	9.332897874
426	9.331997836
427	9.331605913
428	9.331426469
429	9.330789288
430	9.330648918
431	9.329835078
432	9.325968237
433	9.324543958
434	9.324446834
435	9.323666197
436	9.323509278
437	9.323274229
438	9.322149888
439	9.320830328
440	9.320217271
441	9.320142159
442	9.319998875
443	9.319690255
444	9.319346516
445	9.319225652
446	9.319212849
447	9.318583918
448	9.318422196
449	9.318217693
450	9.317998481
451	9.31747685
452	9.317426264
453	9.317152268
454	9.316591561
455	9.316421494
456	9.316405419
457	9.316301578
458	9.315893297
459	9.315212782
460	9.314945388
461	9.31419557
462	9.313748204
463	9.313182586
464	9.313097084
465	9.312920277
466	9.312877965
467	9.312852599
468	9.312731527
469	9.312330389
470	9.312235468
471	9.312022501
472	9.311901971
473	9.311116821
474	9.310128449
475	9.309888278
476	9.309807466
477	9.309605395
478	9.309441516
479	9.309224489
480	9.308620553
481	9.308523829
482	9.308328969
483	9.30815137
484	9.307769794
485	9.307587245
486	9.307554342
487	9.307499783
488	9.306745102
489	9.306450331
490	9.306210715
491	9.305509252
492	9.305495527
493	9.304760602
494	9.304563513
495	9.30383864
496	9.303244227
497	9.302813885
498	9.302598625
499	9.301302181
