iter	Passed	Remaining
0	22	10991
1	57	14280
2	93	15489
3	130	16217
4	168	16639
5	203	16785
6	241	17023
7	281	17325
8	322	17589
9	368	18074
10	409	18185
11	450	18314
12	486	18225
13	522	18154
14	559	18103
15	597	18075
16	634	18039
17	674	18053
18	710	17989
19	723	17373
20	762	17392
21	800	17390
22	837	17369
23	872	17298
24	909	17284
25	946	17255
26	983	17236
27	1025	17295
28	1063	17274
29	1106	17327
30	1149	17398
31	1191	17431
32	1212	17163
33	1251	17151
34	1276	16957
35	1313	16934
36	1352	16920
37	1388	16875
38	1424	16843
39	1462	16816
40	1498	16776
41	1536	16754
42	1572	16709
43	1611	16701
44	1648	16665
45	1684	16625
46	1721	16592
47	1752	16498
48	1791	16490
49	1829	16466
50	1865	16425
51	1901	16378
52	1936	16333
53	1972	16294
54	2008	16252
55	2045	16218
56	2080	16167
57	2116	16128
58	2151	16082
59	2187	16043
60	2224	16007
61	2260	15971
62	2296	15926
63	2334	15904
64	2369	15858
65	2404	15812
66	2441	15776
67	2477	15737
68	2511	15689
69	2546	15645
70	2581	15595
71	2618	15563
72	2654	15527
73	2690	15486
74	2725	15442
75	2761	15407
76	2797	15365
77	2834	15337
78	2871	15303
79	2908	15269
80	2943	15225
81	2979	15189
82	3015	15151
83	3051	15113
84	3087	15073
85	3122	15029
86	3161	15005
87	3197	14968
88	3233	14932
89	3268	14891
90	3305	14857
91	3343	14828
92	3380	14796
93	3417	14760
94	3453	14724
95	3490	14689
96	3526	14650
97	3539	14517
98	3573	14476
99	3612	14450
100	3648	14415
101	3684	14378
102	3721	14344
103	3755	14300
104	3780	14220
105	3817	14189
106	3851	14145
107	3887	14109
108	3921	14066
109	3956	14027
110	3992	13991
111	4028	13955
112	4064	13920
113	4099	13879
114	4133	13839
115	4169	13802
116	4205	13767
117	4241	13729
118	4276	13690
119	4312	13655
120	4347	13617
121	4377	13563
122	4414	13531
123	4450	13494
124	4486	13458
125	4520	13416
126	4556	13381
127	4591	13344
128	4626	13304
129	4660	13265
130	4695	13227
131	4748	13237
132	4787	13209
133	4822	13171
134	4858	13134
135	4895	13102
136	4929	13061
137	4964	13022
138	5002	12990
139	5038	12956
140	5074	12920
141	5112	12888
142	5148	12853
143	5184	12817
144	5220	12781
145	5258	12749
146	5283	12686
147	5319	12651
148	5356	12617
149	5391	12580
150	5428	12547
151	5469	12522
152	5514	12507
153	5553	12478
154	5592	12448
155	5629	12413
156	5665	12378
157	5701	12341
158	5737	12305
159	5777	12277
160	5813	12241
161	5850	12206
162	5868	12133
163	5906	12101
164	5945	12070
165	5982	12037
166	6007	11978
167	6043	11943
168	6079	11906
169	6116	11872
170	6129	11792
171	6163	11754
172	6201	11722
173	6240	11691
174	6278	11659
175	6318	11632
176	6359	11605
177	6397	11573
178	6433	11537
179	6470	11503
180	6508	11471
181	6544	11434
182	6582	11402
183	6619	11368
184	6655	11332
185	6691	11296
186	6726	11258
187	6763	11224
188	6800	11189
189	6836	11154
190	6874	11122
191	6910	11085
192	6945	11048
193	6981	11012
194	7019	10978
195	7056	10944
196	7093	10910
197	7130	10875
198	7166	10840
199	7204	10807
200	7240	10770
201	7276	10734
202	7312	10699
203	7356	10673
204	7392	10638
205	7429	10603
206	7466	10569
207	7502	10532
208	7539	10497
209	7578	10464
210	7613	10428
211	7651	10395
212	7687	10358
213	7723	10322
214	7759	10285
215	7794	10247
216	7828	10209
217	7862	10170
218	7898	10134
219	7934	10098
220	8015	10118
221	8051	10082
222	8086	10045
223	8123	10009
224	8160	9973
225	8191	9931
226	8228	9896
227	8265	9860
228	8300	9822
229	8336	9786
230	8374	9751
231	8415	9721
232	8452	9685
233	8488	9649
234	8528	9616
235	8568	9584
236	8606	9550
237	8643	9515
238	8680	9479
239	8716	9442
240	8754	9408
241	8791	9373
242	8827	9335
243	8865	9301
244	8900	9264
245	8936	9226
246	8972	9190
247	9007	9153
248	9043	9116
249	9079	9079
250	9116	9044
251	9151	9006
252	9181	8964
253	9218	8927
254	9255	8892
255	9293	8857
256	9332	8824
257	9371	8790
258	9407	8754
259	9443	8716
260	9479	8680
261	9514	8643
262	9551	8606
263	9588	8571
264	9625	8535
265	9659	8497
266	9696	8461
267	9735	8427
268	9772	8392
269	9808	8355
270	9845	8319
271	9882	8283
272	9919	8248
273	9938	8197
274	9973	8160
275	10010	8124
276	10047	8088
277	10082	8051
278	10120	8016
279	10161	7983
280	10199	7949
281	10237	7913
282	10273	7877
283	10310	7841
284	10351	7809
285	10387	7772
286	10423	7736
287	10459	7699
288	10499	7665
289	10536	7629
290	10577	7597
291	10619	7564
292	10661	7532
293	10696	7495
294	10734	7459
295	10772	7424
296	10810	7388
297	10844	7351
298	10874	7310
299	10911	7274
300	10948	7238
301	10985	7202
302	11022	7166
303	11057	7129
304	11075	7081
305	11112	7045
306	11149	7009
307	11187	6973
308	11226	6939
309	11265	6904
310	11301	6868
311	11309	6814
312	11346	6778
313	11382	6742
314	11424	6709
315	11452	6668
316	11493	6635
317	11531	6599
318	11568	6564
319	11605	6527
320	11641	6491
321	11679	6456
322	11717	6421
323	11756	6386
324	11794	6351
325	11830	6314
326	11863	6276
327	11900	6240
328	11937	6204
329	11973	6168
330	12010	6132
331	12048	6096
332	12085	6061
333	12120	6024
334	12157	5987
335	12192	5951
336	12230	5915
337	12267	5879
338	12303	5843
339	12340	5807
340	12378	5771
341	12414	5735
342	12450	5699
343	12485	5661
344	12520	5625
345	12558	5589
346	12597	5554
347	12634	5518
348	12671	5482
349	12709	5447
350	12748	5411
351	12784	5375
352	12821	5339
353	12844	5297
354	12880	5260
355	12915	5224
356	12949	5187
357	12986	5150
358	13023	5115
359	13059	5078
360	13095	5042
361	13132	5006
362	13156	4965
363	13196	4930
364	13233	4894
365	13270	4858
366	13307	4822
367	13345	4787
368	13383	4751
369	13423	4716
370	13461	4680
371	13496	4644
372	13521	4604
373	13563	4569
374	13601	4533
375	13640	4498
376	13680	4463
377	13718	4427
378	13760	4393
379	13802	4358
380	13842	4323
381	13880	4287
382	13916	4251
383	13954	4215
384	13974	4174
385	14013	4138
386	14048	4102
387	14086	4066
388	14129	4031
389	14168	3996
390	14212	3962
391	14255	3927
392	14296	3892
393	14336	3857
394	14375	3821
395	14418	3786
396	14457	3750
397	14497	3715
398	14540	3680
399	14579	3644
400	14612	3607
401	14652	3571
402	14693	3536
403	14736	3501
404	14775	3465
405	14795	3425
406	14833	3389
407	14870	3353
408	14907	3316
409	14948	3281
410	14987	3245
411	15023	3208
412	15061	3172
413	15100	3136
414	15137	3100
415	15176	3064
416	15214	3028
417	15233	2988
418	15251	2948
419	15290	2912
420	15330	2876
421	15352	2837
422	15371	2798
423	15410	2762
424	15448	2726
425	15489	2690
426	15531	2655
427	15569	2619
428	15613	2584
429	15652	2548
430	15693	2512
431	15740	2477
432	15783	2442
433	15822	2406
434	15861	2370
435	15899	2333
436	15939	2297
437	15977	2261
438	16018	2225
439	16055	2189
440	16093	2153
441	16131	2116
442	16170	2080
443	16209	2044
444	16247	2008
445	16284	1971
446	16308	1933
447	16344	1897
448	16380	1860
449	16415	1823
450	16452	1787
451	16491	1751
452	16532	1715
453	16573	1679
454	16615	1643
455	16652	1606
456	16670	1568
457	16707	1532
458	16743	1495
459	16780	1459
460	16818	1422
461	16854	1386
462	16889	1349
463	16925	1313
464	16961	1276
465	16996	1240
466	17016	1202
467	17040	1165
468	17076	1128
469	17112	1092
470	17148	1055
471	17185	1019
472	17223	983
473	17260	946
474	17295	910
475	17332	873
476	17369	837
477	17405	801
478	17441	764
479	17477	728
480	17515	691
481	17550	655
482	17585	618
